ชื่อ - สกุล,ปี จัดแข่งขัน,รายการ,ประเภท,ตำแหน่ง,สังกัด
Amabelle Yu Han Chua,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี ,รองชนะเลิศ,เมืองทอง
Amabelle Yu Han Chua,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,เมืองทอง
Amabelle Yu Han Chua,2568,BUTTERFLY & SISB OPEN 2025,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี ,ชนะเลิศ,เมืองทอง
Amabelle Yu Han Chua,2567,Zeer – Joola Table Tennis Cup 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี ,ตำแหน่งที่ 3,เมืองทอง
Amabelle Yu Han Chua,2567,BUTTERFLY & SISB OPEN 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี ,ชนะเลิศ,เมืองทอง
Amabelle Yu Han Chua,2566,BUTTERFLY & SISB OPEN 2023,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 9 ปี ,รองชนะเลิศ,ETTA
Angel Lim,2568,BUTTERFLY & SISB OPEN 2025,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 9 ปี ,รองชนะเลิศ,มหาวิทยาลัยธนบุรี
AUNG MYINT MYAT,2567,BUTTERFLY & SISB OPEN 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 19 ปี ,รองชนะเลิศ,SISB
BEE KIM TIOU,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมหญิงอายุ 50 – 59 ปี,ชนะเลิศ,SG 50
CENGIZ CENGIZ,2568,"Masters , Hopes & Kids 2025 Circuit 3",ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ชนะเลิศ,TTPlaza sport club
CENGIZ CENGIZ,2568,BUTTERFLY & SISB OPEN 2025,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ตำแหน่งที่ 3,TTPlaza
CENGIZ CENGIZ,2568,SPRC SUPER CUP 2025,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ตำแหน่งที่ 3,TTPlaza
CHAN JING YOU -,2566,Chonburi PAO Table Tennis Open 2023,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,Pin Academy
CHANG CHU ENG,2567,BUTTERFLY & SISB OPEN 2024,ประเภทหญิงเดี่ยวอายุ 60 ปีขึ้นไป,ชนะเลิศ,มหาวิทยาลัยธนบุรี
CHANG SHENG-YUEH,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,รองชนะเลิศ,มหาวิทยาลัยธนบุรี
CHANG SHENG-YUEH,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนชายคู่อายุไม่เกิน 12-15 ปี,ชนะเลิศ,มหาวิทยาลัยธนบุรี
Chanthida Nomichith,2565,Hopes And Kids 2022 Circuit 3,ประเภทยุวชนหญิงเดี่ยวอายุไม่เกิน 9 ปี,ตำแหน่งที่ 3,LAOS
CHAP EK YAN,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 70 ปี,รองชนะเลิศ,91 Clementi
Chee seng Low,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 60 - 64 ปี,ตำแหน่งที่ 3,SAFRA
Chen Wang you ran,2568,CHIANG RAI OPEN 2025,ประเภทหญิงเดี่ยวทั่วไป,ตำแหน่งที่ 3,ยิมสามบาท เชียงใหม่
CHOO KE YING,2566,Hope And Kid 2023 Circuit 3,ประเภทยุวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
CHOO KE YING,2566,Hope And Kid 2023 Circuit 3,ประเภทยุวชนหญิงคู่อายุไม่เกิน 11 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
CHOONG JAVEN,2566,All Thailand 2023 Circuit 3,ประเภทชายคู่,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
Choutiphone Sisomboun,2567,Xuperman Loei Table Tennis Open 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 13 ปี ,รองชนะเลิศ,WAGA SPORT
Choutiphone Sisomboun,2567,SPRC - CALTEX SUPER CUP 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,Phakpoom Academy
Choutiphone Sisomboun,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนหญิงอายุไม่เกิน  13 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล B
Choutiphone Sisomboun,2566,Hope And Kid 2023 Circuit 1,ประเภทยุวชนหญิงคู่อายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
Choutiphone Sisomboun,2566,Hope And Kid 2023 Circuit 2,ประเภทยุวชนหญิงคู่อายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
Choutiphone Sisomboun,2566,Chonburi PAO Table Tennis Open 2023,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
Choutiphone Sisomboun,2565,Hopes And Kids 2022 Circuit 3,ประเภทยุวชนหญิงเดี่ยวอายุไม่เกิน 11 ปี,ตำแหน่งที่ 3,LAOS
David Tan,2568,BUTTERFLY & SISB OPEN 2025,ประเภทชายเดี่ยวอายุ 65 ปีขึ้นไป,ตำแหน่งที่ 3,BTC Club
